1F,1T,2F,2T,3F,3T,4F,4T
3,8,3,13,2,53,0,23
7,1,16,0,23,2,39,1
1,0,0,0,0,9,0,18
852,10,255,16,117,17,50,15
34,37,12,23,8,13,4,6
287,12,218,13,138,10,53,6
10,16,3,20,5,23,6,9
124,14,115,9,140,6,61,3
10,10,15,16,12,36,3,14
53,2,55,2,59,2,38,3
17,4,11,7,3,24,6,22
125,2,23,1,11,1,4,1
14,16,6,13,9,6,1,2
523,13,228,17,91,13,31,9
19,16,16,24,15,25,7,15
305,30,187,23,207,46,100,24
8,13,1,12,0,14,4,5
379,13,220,16,145,23,74,18
14,2,3,0,4,3,0,4
1029,74,451,61,279,72,123,49
32,4,17,6,14,4,8,0
202,18,142,20,111,30,56,14
14,1,8,2,4,2,3,1
74,4,48,11,57,15,19,8
10,1,5,2,8,4,7,4
25,3,13,4,9,4,5,2
1,0,0,0,0,0,0,0
1158,51,410,23,201,28,88,17
6,33,2,20,2,14,0,6
174,4,177,16,118,8,37,9
1,9,2,25,4,17,1,2
40,4,81,8,134,9,65,10
2,3,0,10,1,41,4,22
6,0,11,2,21,2,26,2
0,1,1,2,1,12,0,10
1199,40,392,28,170,29,78,19
6,35,1,23,1,10,1,2
141,9,211,8,118,12,48,3
0,11,0,25,1,9,2,3
38,2,74,8,173,3,68,9
0,7,0,14,2,62,0,27
3,1,6,0,17,0,24,2
0,0,0,0,0,6,0,13
568,50,279,41,184,59,96,33
46,9,15,7,22,2,3,2
314,17,164,18,116,28,44,21
41,7,18,3,12,2,8,1
214,13,110,22,75,22,37,12
66,4,38,7,16,5,5,1
104,5,48,4,47,11,24,7
34,0,12,4,10,2,4,1
1364,83,677,103,478,130,221,77
0,0,0,0,0,0,0,0
10,4,3,2,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
12,18,4,1,2,1,0,0
0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1
981,81,488,78,345,82,146,57
23,12,15,3,6,3,7,1
247,7,116,17,87,38,34,14
7,0,7,0,3,1,1,0
90,3,45,5,27,5,28,5
12,0,6,1,4,0,0,0
23,2,6,1,9,2,4,0
4,0,1,1,1,0,1,1
902,72,445,62,288,80,137,50
17,9,6,2,5,2,4,1
262,10,130,22,103,32,44,14
16,3,7,5,5,0,2,1
131,7,65,9,62,12,25,9
15,0,9,3,8,3,0,0
38,2,18,1,9,1,9,0
6,2,4,2,2,1,0,3
1053,77,499,77,362,96,153,61
13,8,1,1,2,1,1,0
206,10,115,19,72,21,36,10
4,3,3,2,1,0,1,1
86,7,57,6,38,11,25,5
8,0,0,1,1,2,0,0
14,0,8,0,5,0,5,0
3,0,1,0,1,0,0,1
951,30,232,14,80,11,37,7
35,15,28,9,17,4,5,6
236,30,254,36,115,18,35,7
14,4,30,11,30,11,11,2
90,15,92,22,138,39,60,21
18,3,15,2,31,18,19,8
38,7,30,8,62,21,40,14
5,1,3,4,9,9,14,13
842,21,115,4,38,2,8,2
45,37,33,14,11,20,2,4
408,28,414,50,205,36,51,6
4,1,2,4,4,3,2,2
61,13,79,20,134,33,72,26
0,0,7,3,5,9,4,6
27,5,34,11,83,26,79,29
0,0,0,0,2,2,3,3
1108,67,407,49,219,38,107,25
31,9,23,5,12,5,6,5
177,18,170,26,116,37,55,18
4,0,16,3,17,3,4,7
47,10,52,16,90,24,27,13
6,1,5,1,13,13,9,3
13,0,10,4,11,10,9,2
1,0,1,2,4,1,4,5
1230,67,360,27,124,25,54,6
8,6,3,3,3,4,1,3
110,17,219,37,124,25,42,8
2,0,6,8,6,2,1,4
30,12,75,19,184,40,70,21
3,2,7,8,7,17,7,6
4,1,14,3,31,12,39,16
0,0,0,1,3,6,7,14
1234,64,297,22,87,17,37,9
5,5,0,1,1,0,2,2
106,15,295,51,162,25,32,3
0,0,0,5,0,0,0,0
37,18,85,22,201,55,82,25
2,2,3,2,7,18,8,6
3,1,4,2,24,11,56,13
0,0,0,1,0,5,4,20
